Campaign,Ad Group,Keyword,Criterion Type,Max CPC,Final URL,Status
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"crew jobs orlando",Phrase,2.00,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"loader jobs near me",Phrase,2.00,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"furniture mover jobs orlando",Phrase,2.00,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"loader jobs hiring now",Phrase,1.75,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"warehouse loader jobs orlando fl",Phrase,1.75,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"loader crew jobs florida",Phrase,1.75,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"crew jobs near me",Phrase,1.75,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"loader jobs no experience",Phrase,1.75,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG2 - Loader Crew Jobs,"mover jobs orlando fl",Phrase,1.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"jobs near me orlando fl",Phrase,1.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"jobs hiring now orlando",Phrase,1.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"entry level jobs orlando",Phrase,1.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"jobs near 32812",Phrase,1.50,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"manual labor jobs orlando",Phrase,1.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"jobs near me orlando",Phrase,1.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
p-b2c-google-search-us-bofu-bau-orlando-industrial-hiring-event-04202026,AG3 - General Jobs,"entry level jobs near me",Phrase,1.25,https://indeedflex.com/find-jobs/lp/hiring-event/?utm_source=google&utm_medium=cpc&link_value=syft://jobs/browse/501764&employer=cort&metro=orlando&role=loader--crew&utm_campaign=us-cort-hiring-event-orlando-fl,Active
